Código de Modalidad;Código de la infraestructura;Número de Agentes Educativos;Recursos para formación;Periodo;Codigo Caja de Compensacion;Caja de Compensacion;Fecha Creacion
COMUNITARIA - HCB FAMILIARES;CCF040-26-921;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-128;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-126;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-127;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-147;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-148;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-146;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-145;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-120;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-124;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-132;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-143;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-144;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-920;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-153;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-159;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-130;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-133;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-135;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-136;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-137;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-134;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-156;7;4608;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-152;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-150;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-149;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-151;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-129;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-141;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-142;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-138;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-157;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-155;14;9216;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-158;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-160;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-160;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-160;7;4608;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-161;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-919;7;4608;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-140;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-923;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-169;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-168;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-162;7;4608;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-163;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-922;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-177;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-214;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-201;26;17115;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-167;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-924;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-849;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-178;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-182;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-185;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-180;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-181;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-184;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-783;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-210;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-784;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-212;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-218;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-217;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-198;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-810;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-194;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-200;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-197;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-801;34;22368;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-191;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-811;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-190;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-186;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-196;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-195;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-203;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-801;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-201;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-187;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-812;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-192;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-174;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-175;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-176;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-202;16;10532;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-215;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-216;15;9874;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-207;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-208;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-170;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-171;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-172;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-173;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-616;19;12507;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-618;13;8557;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-619;19;12507;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-204;9;5924;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-205;17;11190;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-206;10;6583;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-610;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-614;15;9874;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-611;17;11190;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-615;17;11190;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-612;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-617;17;11190;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-114;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-115;6;3950;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-116;12;7899;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-117;8;5266;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-118;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-119;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-560;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-348;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-908;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-901;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-112;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-113;5;3291;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-297;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
