Identificación del programa;Código de Modalidad;Código de Convenios y/o contratos FONIÑEZ;Valor;Periodo;Codigo Caja de Compensacion;Caja de Compensacion;Fecha Creacion
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Saldo Final Convenios – Período reportado;-1026216192;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Saldo inicial convenios;144968650;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;25126548;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;486136638;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Saldo Final Convenios – Período reportado;175797034;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Saldo inicial convenios;1095308254;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;43217662;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;836155018;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;545213160;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;545213160;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;65443556;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;65443556;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;256221756;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;256221756;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;21;CAFAM;2020-04-25 10:14:28.923
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA - PROPIA (IMPLEMENTACIÓN DE LA CAJA DE COMPENSACIÓN CON LOS LINEAMIENTOS DEL ICBF);Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES ÉTNICAS;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES RURALES;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - PREESCOLARES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES ÉTNICAS;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES RURALES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES INFANTILES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES LACTANTES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB MÚLTIPLES;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB MÚLTIPLES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - PREESCOLARES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA - PROPIA (IMPLEMENTACIÓN DE LA CAJA DE COMPENSACIÓN CON LOS LINEAMIENTOS DEL ICBF);Saldo Final Convenios – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA - PROPIA (IMPLEMENTACIÓN DE LA CAJA DE COMPENSACIÓN CON LOS LINEAMIENTOS DEL ICBF);Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES ÉTNICAS;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;PROPIA  - COMUNIDADES RURALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES INFANTILES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES LACTANTES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES LACTANTES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB MÚLTIPLES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - PREESCOLARES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;44;COMFAMILIAR Risaralda;2020-04-25 15:27:30.037
